datum, rekeningnummer, debiteurnummer, crediteurnummer, medewerker, omschrijving, bedrag, faktuurnr, GUID
2003-08-16 00:00:00,     4500,, 60098      ,80001,Afschrijving,865.75999999999999,20000008,{5FE03548-D847-40ED-B4CF-7A9990109EE3}
2003-08-16 00:00:00,     0235,, 60098      ,80001,Afschrijving,-865.75999999999999,20000008,{5FE03548-D847-40ED-B4CF-7A9990109EE3}
2003-09-16 00:00:00,     4500,, 60098      ,80001,Afschrijving,865.75999999999999,20000008,{D87F0BF3-D5BF-47FD-8328-4F3F56BAF31E}
2003-09-16 00:00:00,     0235,, 60098      ,80001,Afschrijving,-865.75999999999999,20000008,{D87F0BF3-D5BF-47FD-8328-4F3F56BAF31E}
2003-10-16 00:00:00,     4500,, 60098      ,80001,Afschrijving,865.75999999999999,20000008,{581484F8-832D-4DA7-9851-82A3F3987D11}
2003-10-16 00:00:00,     0235,, 60098      ,80001,Afschrijving,-865.75999999999999,20000008,{581484F8-832D-4DA7-9851-82A3F3987D11}
2003-10-01 00:00:00,     0220,, 60098      ,80001,Werkbank I,8302.5200000000004,20000019,{BC3829AB-4419-4F2F-BBA2-FD30DC69FE98}
2003-10-01 00:00:00,     1511,, 60085      ,80001,,1577.48,20000019,{BC3829AB-4419-4F2F-BBA2-FD30DC69FE98}
2003-10-01 00:00:00,     1600,, 60098      ,0,,-9880,20000019,{BC3829AB-4419-4F2F-BBA2-FD30DC69FE98}
2003-10-01 00:00:00,     4500,, 60098      ,80001,Afschrijving,230.63,20000019,{8EE63D82-97AA-435F-8FB6-2D4F21C6151B}
2003-10-01 00:00:00,     0225,, 60098      ,80001,Afschrijving,-230.63,20000019,{8EE63D82-97AA-435F-8FB6-2D4F21C6151B}
2003-10-30 00:00:00,     1100,, 60098      ,0,,-9880,20000019,{5A8F6B7F-6E4D-42C2-BFFA-4F996158EAA0}
2003-10-30 00:00:00,     1600,, 60098      ,0,,9880,20000019,{5A8F6B7F-6E4D-42C2-BFFA-4F996158EAA0}
2003-11-03 00:00:00,     5000,,,80040,,-40,10000112,{2FAA8AF0-2A7A-481D-B3B1-FFF3E0D3E829}
2003-11-03 00:00:00,     7000,,,80040,,40,10000112,{2FAA8AF0-2A7A-481D-B3B1-FFF3E0D3E829}
2003-11-03 00:00:00,     5000,,,80040,,-10,10000112,{2FAA8AF0-2A7A-481D-B3B1-FFF3E0D3E829}
2003-11-03 00:00:00,     7000,,,80040,,10,10000112,{2FAA8AF0-2A7A-481D-B3B1-FFF3E0D3E829}
2004-02-19 00:00:00,     3000, 60021      ,,80001,contract op hefbrug,-268,10000113,{F7820C74-E43E-4182-A8E8-8A4889E85C94}
2004-02-19 00:00:00,     7000, 60021      ,,80001,contract op hefbrug,268,10000113,{F7820C74-E43E-4182-A8E8-8A4889E85C94}
2004-02-19 00:00:00,     3000,,,80001,Serial/batch data,0,10000114,{9A2C8444-5AB1-4638-87A6-8C05B0497CF4}
2004-02-19 00:00:00,     7000,,,80001,Serial/batch data,0,10000114,{9A2C8444-5AB1-4638-87A6-8C05B0497CF4}
2004-02-19 00:00:00,     3000,,,80001,,565.75,10000116,{4EDEE7AE-64E4-45C0-A64E-3554A49567D4}
2004-02-19 00:00:00,     7000,,,80001,,-565.75,10000116,{4EDEE7AE-64E4-45C0-A64E-3554A49567D4}
2004-02-19 00:00:00,     3000,,,80001,,0,10000116,{4EDEE7AE-64E4-45C0-A64E-3554A49567D4}
2004-02-19 00:00:00,     7000,,,80001,,0,10000116,{4EDEE7AE-64E4-45C0-A64E-3554A49567D4}
2004-02-19 00:00:00,     3000, 60021      ,,80001,,0,10000117,{BEBB3DB7-337F-4A70-8A58-C477FF31ED40}
2004-02-19 00:00:00,     7000, 60021      ,,80001,,0,10000117,{BEBB3DB7-337F-4A70-8A58-C477FF31ED40}
2004-02-19 00:00:00,     3000, 60021      ,,80001,,0,10000117,{BEBB3DB7-337F-4A70-8A58-C477FF31ED40}
2004-02-19 00:00:00,     7000, 60021      ,,80001,,0,10000117,{BEBB3DB7-337F-4A70-8A58-C477FF31ED40}
2004-02-19 00:00:00,     8000, 60040      ,,80017,,-1362.5,70400002,{797F2285-7ABC-4F4A-9165-DEBA8D454001}
2004-02-19 00:00:00,     1502,, 60085      ,80017,,-258.88,70400002,{797F2285-7ABC-4F4A-9165-DEBA8D454001}
2004-02-19 00:00:00,     1300, 60040      ,,80017,,1621.3800000000001,70400002,{797F2285-7ABC-4F4A-9165-DEBA8D454001}
2004-02-19 00:00:00,     8000, 60014      ,,80017,order februari,-3675,70400003,{2A809C8B-CAF5-4528-8E8E-67069F4ED89D}
2004-02-19 00:00:00,     8000, 60014      ,,80017,order februari,-900,70400003,{2A809C8B-CAF5-4528-8E8E-67069F4ED89D}
2004-02-19 00:00:00,     1502,, 60085      ,80017,order februari,-869.25,70400003,{2A809C8B-CAF5-4528-8E8E-67069F4ED89D}
2004-02-19 00:00:00,     1300, 60014      ,,80017,order februari,5444.25,70400003,{2A809C8B-CAF5-4528-8E8E-67069F4ED89D}
2004-02-19 00:00:00,     8000, 60015      ,,80017,order februari,-145,70400004,{3B59999A-CD20-4EB5-950C-50AF72148FAD}
2004-02-19 00:00:00,     8000, 60015      ,,80017,order februari,-36.299999999999997,70400004,{3B59999A-CD20-4EB5-950C-50AF72148FAD}
2004-02-19 00:00:00,     8000, 60015      ,,80017,order februari,-29.039999999999999,70400004,{3B59999A-CD20-4EB5-950C-50AF72148FAD}
2004-02-19 00:00:00,     8000, 60015      ,,80017,order februari,-566.79999999999995,70400004,{3B59999A-CD20-4EB5-950C-50AF72148FAD}
2004-02-19 00:00:00,     8000, 60015      ,,80017,order februari,-45,70400004,{3B59999A-CD20-4EB5-950C-50AF72148FAD}
2004-02-19 00:00:00,     8000, 60015      ,,80017,order februari,-258,70400004,{3B59999A-CD20-4EB5-950C-50AF72148FAD}
2004-02-19 00:00:00,     8000, 60015      ,,80017,order februari,-250.69999999999999,70400004,{3B59999A-CD20-4EB5-950C-50AF72148FAD}
2004-02-19 00:00:00,     1502,, 60085      ,80017,order februari,-252.86000000000001,70400004,{3B59999A-CD20-4EB5-950C-50AF72148FAD}
